NOMBRE_DEL_SOLISTA_DE_LA_BANDA;GENERO;ESTILO;FECHA_INSCRIPCION;LINK_FACEBOOK;LINK_TWITTER;OTRAS_REDES;DISCOS;LINK_VIDEOCLIP;VIDEO_EN_VIVO;BARRIO;CANTIDAD_DE_INTEGRANTES
MOONDANCE;FUNK ;;13/09/16;HTTPS://FACEBOOK.COM/MOONDANCESOUL;HTTPS://TWITTER.COM/MOONDANCESOUL;HTTPS://WWW.INSTAGRAM.COM/MOONDANCESOUL/ , HTTPS://WWW.FACEBOOK.COM/MOONDANCESOUL;STAYING (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=ANMTUPCO5T0;HTTPS://WWW.YOUTUBE.COM/WATCH?V=BIZEKK_SIZU , HTTPS://WWW.YOUTUBE.COM/WATCH?V=2DF0I6CIIIG;NUÑEZ;5
OLVIDE SAN TELMO;INDIE ;;13/09/16;HTTPS://FACEBOOK.COM/OLVIDESANTELMO;HTTPS://TWITTER.COM/OLVIDESANTELMO;HTTPS://OLVIDESANTELMO.BANDCAMP.COM/ , WWW.INSTAGRAM.COM/OLVIDESANTELMO , HTTPS://WWW.BANDPAGE.COM/OLVIDESANTELMO;¿DONDE VAS A ESTAR? (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=0AH7RYG8MSM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=FSV28SOUUTO;HTTPS://WWW.YOUTUBE.COM/WATCH?V=LNLHESC7SGC , HTTPS://WWW.YOUTUBE.COM/WATCH?V=W7CZQ0WVRV4;NUÑEZ;1
VECINA;INDIE ;;13/09/16;HTTPS://FACEBOOK.COM/VECINACANCIONES;HTTPS://TWITTER.COM/VECINACANCIONES;INSTAGRAM VECINACANCIONES , VECINACANCIONES.COM.AR;DESPUES DE LA MUDANZA (2014) , FOTO DE UN BUEN DIA (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=-7U8VTFM9U8 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=KYDQDNRES1E;HTTPS://WWW.YOUTUBE.COM/WATCH?V=RHTH_SDWXY0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=BCWDADI1UYS;COGHLAN;5
BONUS TRACK RPP;METAL / HEAVY ;HARDCORE;13/09/16;;;HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCSJM5U9ZUYEOVBK2POK_WDQ;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=MZGAL7MGDYK;HTTPS://WWW.YOUTUBE.COM/WATCH?V=2SAQXFKIYC0;CLAYPOLE;5
GABY DVENIR + LEO MOSCARDO;POP;;13/09/16;;HTTPS://TWITTER.COM/GADVENIR;HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCRYGKH3HP8GAT4SIBD56VJA/VIDEOS;ETERNO (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=WS-3D8FIAAC;HTTPS://WWW.YOUTUBE.COM/WATCH?V=VOKZMHL3TQY , HTTPS://WWW.YOUTUBE.COM/WATCH?V=MYKE6QMFF8E;LINIERS;2
MISTOL TEAM FEAT. ELI NADRA;POP;;13/09/16;;HTTPS://TWITTER.COM/MISTOLTEAM;HTTPS://WWW.BEATPORT.COM/ARTIST/MISTOLTEAM/153911 , HTTPS://SOUNDCLOUD.COM/MISTOLTEAM;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=NUY2DI_4OZO;BARRACAS;2
ESTILO TRANQUILO;POP ;POP CANCION;13/09/16;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=A2HKCDFLCQY;HTTPS://WWW.YOUTUBE.COM/WATCH?V=JPHCEBOWY5W;VICENTE LOPEZ;1
FKD;POP ;POP CANCION;13/09/16;HTTPS://FACEBOOK.COM/FKDREAMERS;HTTPS://TWITTER.COM/FUCKINGDREAMERS;HTTPS://FUCKINGDREAMERS.BANDCAMP.COM/;ALUNIZAJE ( EP ) (2014) , PROXIMO UNIVERSO ( EP) (2012);HTTPS://WWW.YOUTUBE.COM/WATCH?V=VG-OSHK4NTK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=DOOIRBHJLMM;;COGHLAN;5
TOMAS MANDEL;POP ;POP CANCION;13/09/16;;HTTPS://TWITTER.COM/TOMASMANDEL;HTTPS://SOUNDCLOUD.COM/TOMASMANDEL , HTTPS://INSTAGRAM.COM/TOMASMANDELMUSIC/ , WWW.TOMASMANDEL.COM;A TU LADO (2014) , CUANDO LO QUIERAS (2013);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=9ZFTUHCF3HK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=Q3T3GDRE2TY;NUÑEZ;6
ALFA Y BETA;POP ;POP ROCK;13/09/16;HTTPS://FACEBOOK.COM/ALFAYBETAMUSICA;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZSHAIYFMRZK;ITUZAINGO;2
COVECK;POP ;POP ROCK;13/09/16;HTTPS://FACEBOOK.COM/COVECK;HTTPS://TWITTER.COM/COVECKMUSIC;HTTPS://MYSPACE.COM/COVECK , WWW.COVECK.COM;THE ROGUE WAY (2012) , LAMAQUINA (2010) , THANATOS (2007) , DESDE LA SOLEDAD (2003);HTTPS://WWW.YOUTUBE.COM/WATCH?V=1IJLYE7ZH7E , HTTPS://WWW.YOUTUBE.COM/WATCH?V=M5CIXSCY9F4;HTTPS://WWW.YOUTUBE.COM/WATCH?V=RVTQJPK-TWE;MONTE CASTRO;4
OSTIAS DEL ESPACIO;POP ;POP ROCK;13/09/16;;HTTPS://TWITTER.COM/LOSOSTIAS;HTTPS://OPEN.SPOTIFY.COM/ALBUM/0STUOALUUKFTSK6YORJ9QO , HTTP://OSTIASDELESPACIO.BANDCAMP.COM/ALBUM/OSTIASDELESPACIO , HTTP://TONO13DISCOS.COM.AR/#TESTIMONIALS;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=_NW-B_MJRX8;;VILLA SOLDATI;5
AERIUM;PUNK;;13/09/16;HTTPS://FACEBOOK.COM/AERIUM;HTTPS://TWITTER.COM/AERIUMROCK;;7 VUELOS (2014);;;BOEDO;4
SUBMISION;PUNK;;13/09/16;HTTPS://FACEBOOK.COM/SUBMISION;HTTPS://TWITTER.COM/SUBMISIONPUNK;HTTP://WWW.REVERBNATION.COM/SUBMISION , HTTP://WWW.SUBMISION.COM.AR;DESDE ADENTRO (2006) , CAYENDO (2003) , LIBERTAD? (1999) , CUANTO VALES (1996);HTTPS://WWW.YOUTUBE.COM/WATCH?V=F6ZHDG23COU , HTTPS://WWW.YOUTUBE.COM/WATCH?V=MIUPTQS11T4;HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZD7VNLGXFV8 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=HXKDXQB6FL4;ESCOBAR;4
LOS HIJOS DE LEVIATAN;ROCK;;13/09/16;HTTPS://FACEBOOK.COM/LOSHIJOSDELEVIATAN;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=Z3SIEHZBDCI;HTTPS://WWW.YOUTUBE.COM/WATCH?V=CV8LJULZCVC , HTTPS://WWW.YOUTUBE.COM/WATCH?V=HM3MEGUVFHA;BARRACAS;4
MUNDANOS;ROCK;;13/09/16;;HTTPS://TWITTER.COM/MUNDANOSROCK;HTTPS://SOUNDCLOUD.COM/MUNDANOS , HTTPS://WWW.YOUTUBE.COM/MUNDANOSROCKVIAJERO , HTTP://WWW.MUNDANOSROCK.COM;#RESET (2014) , FILOS (2009);HTTPS://WWW.YOUTUBE.COM/WATCH?V=-8K5CZF6HNY , HTTPS://WWW.YOUTUBE.COM/WATCH?V=JFR5ZUEXNSG;HTTPS://WWW.YOUTUBE.COM/WATCH?V=XXW1TSAMJC0;RETIRO;4
TUPA MISTTI;ROCK;;13/09/16;;HTTPS://TWITTER.COM/TUPAMISTTI;HTTPS://WWW.INSTAGRAM.COM/TUPA_MISTTI/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=LD8DVXUGV80 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=FRQYKYTF5_E;HTTPS://WWW.YOUTUBE.COM/WATCH?V=7YKO8IVHEMQ , HTTPS://WWW.YOUTUBE.COM/WATCH?V=WS27COTTMSQ;OLIVOS / SAN FERNANDO / SAN ISIDRO / TIGRE;4
SHAGGIS;ROCK ;GRUNGE;13/09/16;HTTPS://FACEBOOK.COM/SHAGGISOFICIAL;HTTPS://TWITTER.COM/SHAGGIS69;HTTPS://SHAGGIS.BANDCAMP.COM;SOPORTANDO MIERDA AJENA (2010);HTTPS://WWW.YOUTUBE.COM/WATCH?V=Y7-PVX4FLOI;HTTPS://WWW.YOUTUBE.COM/WATCH?V=JBTGYFR-NS8;LA BOCA;3
ROLLS;ROCK ;HARD ROCK;13/09/16;;HTTPS://TWITTER.COM/ROLLS_OFICIAL;HTTPS://WWW.INSTAGRAM.COM/ROLLSOFICIAL , HTTPS://WWW.YOUTUBE.COM/USER/BRUNO07702/FEATURED , HTTP://ROLLSMUSICA.WIXSITE.COM/ROLLS;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=JQTQSMCRC7I , HTTPS://WWW.YOUTUBE.COM/WATCH?V=-XIB_890KSM;HTTPS://WWW.YOUTUBE.COM/WATCH?V=VEHMOM8HJCS;NUÑEZ;5
TREMENS;ROCK ;HARD ROCK;13/09/16;;;HTTPS://WWW.INSTAGRAM.COM/TREMENSROCK , HTTPS://TREMENSROCK.BANDCAMP.COM;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=81HY35GMMV4;HTTPS://WWW.YOUTUBE.COM/WATCH?V=81HY35GMMV4;VILLA SOLDATI;6
ULTRAMANDACO;ROCK ;POWER TRIO;13/09/16;HTTPS://FACEBOOK.COM/ULTRAMANDACO;HTTPS://TWITTER.COM/ULTRAMANDACO;HTTPS://SOUNDCLOUD.COM/ULTRAMANDACO/SETS/TRAIDORES , WWW.ULTRAMANDACO.COM;TRAIDORES (2014) , FIN (2012) , ONAN (2007) , ULTRA SHE LENO (2004);HTTPS://WWW.YOUTUBE.COM/WATCH?V=IP2EZXAGNHO , HTTPS://WWW.YOUTUBE.COM/WATCH?V=RDLQAREVYKY;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DJMWQDLNYIA;BOEDO;3
BELIEVEN;ROCK ;ROCK ALTERNATIVO;13/09/16;;HTTPS://TWITTER.COM/BELIEVENOFICIAL;HTTPS://WWW.INSTAGRAM.COM/BELIEVENOFICIAL/ , HTTPS://WWW.INSTAGRAM.COM/BELIEVENOFICIAL/ , HTTP://BELIEVENOFICIAL.COM/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=UL3GIHG4FFQ , HTTPS://WWW.YOUTUBE.COM/WATCH?V=KZ3ZPKZFSY0;;CONSTITUCION;5
BETELGEUSE;ROCK ;ROCK ALTERNATIVO;13/09/16;HTTPS://FACEBOOK.COM/BETELGEUSEROCKS;;HTTPS://WWW.INSTAGRAM.COM/BETELGEUSE.ROCK/ , HTTPS://WWW.FACEBOOK.COM/BETELGEUSEROCKS;LA TERNURA DE LAS BESTIAS (2014) , INERCIA (2011);HTTPS://WWW.YOUTUBE.COM/WATCH?V=JQK_OXPNGOW , HTTPS://WWW.YOUTUBE.COM/WATCH?V=S7V5ZIISPQ8;HTTPS://WWW.YOUTUBE.COM/WATCH?V=NMWASGZXDFO , HTTPS://WWW.YOUTUBE.COM/WATCH?V=MCL8SK8JRBC;VILLA RIACHUELO;5
GRUTA;ROCK ;ROCK ALTERNATIVO;13/09/16;;;HTTPS://WWW.INSTAGRAM.COM/GRUTABANDA/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=FECHAIYMUFI , HTTPS://WWW.YOUTUBE.COM/WATCH?V=TZGTRLIHNTG;HTTPS://WWW.YOUTUBE.COM/WATCH?V=JYXG3MNSGIC , HTTPS://WWW.YOUTUBE.COM/WATCH?V=JWE3FMBPXBQ;BECCAR;3
PAPELES;ROCK ;ROCK ALTERNATIVO;13/09/16;HTTPS://FACEBOOK.COM/PAPELES;HTTPS://TWITTER.COM/PAPELES_OFICIAL;WWW.INSTAGRAM.COM/PAPELES_OFICIAL , WWW.PAPELES.COM.AR;VEXAFINE (2014) , ESONOES (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=36MJOIGNNDM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=OPSZN527IOQ;HTTPS://WWW.YOUTUBE.COM/WATCH?V=UXJHTOCRRL4;CENTENARIO;3
ROBINSON;ROCK ;ROCK ALTERNATIVO;13/09/16;;HTTPS://TWITTER.COM/ROBINSONARG;HTTPS://INSTAGRAM.COM/SOMOSROBINSON/ , HTTPS://ROBINSONOFICIAL.BANDCAMP.COM/;EL JARDIN DE LOS TORMENTOS (2013) , MAR (2011);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DJBEDZAW-RG , HTTPS://WWW.YOUTUBE.COM/WATCH?V=SAYLZCVEKVG;LA PLATA;4
ROCAMADOUR;ROCK ;ROCK ALTERNATIVO;13/09/16;HTTPS://FACEBOOK.COM/ROCAMADOUR;HTTPS://TWITTER.COM/ROCAMADOURROCK;@ROCAMADOUROFICIAL (INSTAGRAM) , WWW.ROCAMADOUR.COM.AR;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WAKGJ7F2XU4;HTTPS://WWW.YOUTUBE.COM/WATCH?V=SVXWWK_NM5C , HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZGG21UQQ_Y0;FLORENCIO VARELA;7
SHUNT;ROCK ;ROCK ALTERNATIVO;13/09/16;HTTPS://FACEBOOK.COM/SHUNTOFICIAL;HTTPS://TWITTER.COM/SHUNTOFICIAL;HTTPS://SOUNDCLOUD.COM/SHUNTOFICIAL , HTTPS://WWW.YOUTUBE.COM/CHANNEL/UC55EJFR4J9CGDHS4MRPTHNQ , HTTP://SHUNTWEB.COM.AR/;SHUNT (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=Y5WA0W3IXFE;HTTPS://WWW.YOUTUBE.COM/WATCH?V=STFVXZFK74M;BOEDO;4
GUDFELLAS;ROCK ;ROCK POP;13/09/16;;;;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=VYUHXIYBN7C , HTTPS://WWW.YOUTUBE.COM/WATCH?V=8ZLKUY4RZZS;BELGRANO;5
JULIAN;ROCK ;ROCK POP;13/09/16;HTTPS://FACEBOOK.COM/JULIANLMUSICA;;JULIANLMUSICA;PORTAL (2014);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=T_K-W5IMYTS , HTTPS://WWW.YOUTUBE.COM/WATCH?V=V0JKOHOAWQI;BOEDO;1
NARFROCK;ROCK ;ROCK POP;13/09/16;HTTPS://FACEBOOK.COM/NARFROCK;HTTPS://TWITTER.COM/NARFROCKOK;;DIA ETERNO (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=P-WTMWQ8EHQ;HTTPS://WWW.YOUTUBE.COM/WATCH?V=VGGDVXZFX_M;VILLA SOLDATI;4
OJEROSA;ROCK ;ROCK POP;13/09/16;HTTPS://FACEBOOK.COM/OJEROSA;HTTPS://TWITTER.COM/OJEROSAOFICIAL;HTTPS://WWW.INSTAGRAM.COM/OJEROSAOFICIAL/ , WWW.YOUTUBE.COM/USER/MROJEROSA , HTTPS://OJEROSA.BANDCAMP.COM/;4MIL REVOLUCIONES (2014) , ¿QUIEN BAILA? (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=28EC-8ILEDK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=EYAZCE6VGL0;HTTPS://WWW.YOUTUBE.COM/WATCH?V=E_QVPEV17FU;;7
TU MAMA NO ENTIENDE NADA;ROCK ;ROCK POP;13/09/16;;;HTTPS://TUMAMANOENTIENDENADA.BANDCAMP.COM/RELEASES , HTTPS://WWW.YOUTUBE.COM/USER/TUMAMANOENTIENDENADA , HTTPS://WWW.FACEBOOK.COM/TUMAMANOENTIENDENADA;BAJO LA CIUDAD (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=XUMGJVCBMAO;HTTPS://WWW.YOUTUBE.COM/WATCH?V=0JT4DVUOKKI , HTTPS://WWW.YOUTUBE.COM/WATCH?V=GID1C4R5KXC;COLEGIALES;4
TIEMPO PERDIDO;ROCK ;ROCK PROGRESIVO;13/09/16;HTTPS://FACEBOOK.COM/TIEMPOPERDIDO.ROCK;HTTPS://TWITTER.COM/TIEMPO_PERDIDO1;;AIRES DE CIUDAD 2 (DOS) (2014) , DESOLADA LIBERTAD (2009) , AIRES DE CIUDAD (2004);HTTPS://WWW.YOUTUBE.COM/WATCH?V=-_-XA3JXVJK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=WRIILVLUU1E;HTTPS://WWW.YOUTUBE.COM/WATCH?V=-_-XA3JXVJK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=WRIILVLUU1E;COLON;4
ACECHADORES;ROCK ;;13/09/16;HTTPS://FACEBOOK.COM/ELCLUBDELACECHO;;HTTPS://SOUNDCLOUD.COM/ACECHADORES , HTTPS://WWW.INSTAGRAM.COM/ACECHADORES/ , HTTPS://WWW.FACEBOOK.COM/ELCLUBDELACECHO/;ACECHADORES (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=DPW1P4VFMN0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=PXSKU7XQNNW;HTTPS://WWW.YOUTUBE.COM/WATCH?V=6QL1TIN-XSW , HTTPS://WWW.YOUTUBE.COM/WATCH?V=LKCJQE_MUJQ;SAAVEDRA;4
BUEY LUNATICO;ROCK ;;13/09/16;HTTPS://FACEBOOK.COM/BUEYLUNATICO;HTTPS://TWITTER.COM/BUEYLUNATICO;INSTAGRAM.COM/BUEYLUNATICO;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=S4INYUMXCCA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=YD7PEYOA4TW;;CONSTITUCION;4
CALEB;ROCK ;;13/09/16;;HTTPS://TWITTER.COM/CALEBOFICIAL1;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=HKPR-UJOKEG;;PILAR;4
CENIZAS DEL ALBA;ROCK ;;13/09/16;;;WWW.CENIZASDELALBA.COM.AR;18 PRIMAVERAS (2014) , BUEN VIAJE (2013) , CLARIDAD (2012) , CUANDO EL INCONSCIENTE TE LLEVE DE SU MANO.. (2005);HTTPS://WWW.YOUTUBE.COM/WATCH?V=61MBN2BL5GW , HTTPS://WWW.YOUTUBE.COM/WATCH?V=UCLHDUGSEMI;HTTPS://WWW.YOUTUBE.COM/WATCH?V=SEELE6OAGEI , HTTPS://WWW.YOUTUBE.COM/WATCH?V=M1HUU3K69IY;TORTUGUITAS;6
EL FUEGO EN CAMINO;ROCK ;;13/09/16;HTTPS://FACEBOOK.COM/PAGES/EL-FUEGO-EN-CAMINO/490988557592043;;HTTP://2208.BANDCAMP.COM/;BUENO PARA NADA (2014) , BIGBANG (2008);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=2SEGMVUNMVW;NUÑEZ;4
LA LINEA AZUL;ROCK ;;13/09/16;;;@LALINEAZUL;;;;RETIRO;5
LOS CIANUROS;ROCK ;;13/09/16;HTTPS://FACEBOOK.COM/LOSCIANUROS;;YOUTUBE.COM/LOSCIANUROS;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=1WLTY_OJ68W , HTTPS://WWW.YOUTUBE.COM/WATCH?V=UPRZSONX6O0;BELGRANO;4
NO ESTAMOS SOLOS;ROCK ;;13/09/16;;;HTTPS://WWW.FACEBOOK.COM/NOESTAMOSOLOS13;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=D5MCZJIREOE , HTTPS://WWW.YOUTUBE.COM/WATCH?V=BG3SFTBICHS;HTTPS://WWW.YOUTUBE.COM/WATCH?V=D5MCZJIREOE , HTTPS://WWW.YOUTUBE.COM/WATCH?V=BG3SFTBICHS;PUERTO MADERO;3
ROCKMAN FUSION SINFONICA;ROCK ;;13/09/16;;HTTPS://TWITTER.COM/ROCKMANFS;INSTAGRAM: ROCKMAN FUSION SINFONICA;;HTTPS://YOUTU.BE/B_JNPZIBDOG , HTTPS://YOUTU.BE/OLAEOE_ERNG;HTTPS://YOUTU.BE/UJ71N5ZNMEK;LINIERS;6
YIRA;ROCK ;;13/09/16;HTTPS://FACEBOOK.COM/YIRATANGOROCK;HTTPS://TWITTER.COM/YIRAMUSICA;HTTPS://YIRA.BANDCAMP.COM;SANTOS IMPOSTORES (2014) , TINTO (2007) , ELECTROVIAJE PORTEÑO (2004);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=XIR-WYGOJH8 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZVCB_9LLNAQ;FLORES;6
MIL BARES;SKA / REGGAE;;13/09/16;;;HTTPS://WWW.FACEBOOK.COM/PAGES/MILBARES/1389514744625625?FREF=TS , WWW.MILBARES.COM;SOMOS DE ACA (2014) , SILBANDO BAJITO (2010);HTTPS://WWW.YOUTUBE.COM/WATCH?V=WBRL4JOGNC0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=6WWJDHM0X6C;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DRNAMWEOONA , HTTPS://WWW.YOUTUBE.COM/WATCH?V=GNTZCEXJLAW;LUJAN;9
ILIMITADAS LIMITACIONES;SKA / REGGAE ;;13/09/16;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=MJDDLGCPZWE&LIST=PLO62Y7_V4IVIJNT2MWJE8YUHB2PKW5M_;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=UZMZ3JR4Z7E , HTTPS://WWW.YOUTUBE.COM/WATCH?V=UZMZ3JR4Z7E;PARQUE AVELLANEDA;6
LA REAL REGGAE;SKA / REGGAE ;;13/09/16;;;HTTPS://LAREALREGGAE.BANDCAMP.COM/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=1M2LXX1NWWM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZSKYYWONVCO;HTTPS://WWW.YOUTUBE.COM/WATCH?V=RS0CUWNT8O0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=T9IG2GC6J_C;SAN NICOLAS;6
LUMINAZION;SKA / REGGAE ;;13/09/16;;HTTPS://TWITTER.COM/LMZLUMINAZION;HTTP://LUMINAZIONREGGAE.COM.AR/;MAS ALLA (2013);HTTPS://WWW.YOUTUBE.COM/WATCH?V=MAWG_1SWRAC , HTTPS://WWW.YOUTUBE.COM/WATCH?V=ZBXIGAEMX2Q;;MORON;7
MATH AIAN;SOLISTA ;ROCK POP;13/09/16;HTTPS://FACEBOOK.COM/MATHAIANOFICIAL;;HTTPS://SOUNDCLOUD.COM/MATHAIAN;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=8C8-XDVQRXI , HTTPS://WWW.YOUTUBE.COM/WATCH?V=U5UXUU9MYFY;HTTPS://WWW.YOUTUBE.COM/WATCH?V=8C8-XDVQRXI , HTTPS://WWW.YOUTUBE.COM/WATCH?V=U5UXUU9MYFY;RAFAEL CALZADA;1
LA CLASE;TROPICAL / LATINO ;;13/09/16;;HTTPS://TWITTER.COM/LACLASE_OFICIAL;HTTPS://WWW.FACEBOOK.COM/LACLASEOFICIAL/?FREF=TS;DESPERTAR CONTIGO (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=WPAWXHOSW0S , HTTPS://WWW.YOUTUBE.COM/WATCH?V=PQA4TMFCVN0;HTTPS://WWW.YOUTUBE.COM/WATCH?V=LHYU7QY9CZS , HTTPS://WWW.YOUTUBE.COM/WATCH?V=HMUFOP9BC5S;CONSTITUCION;4
CULTURAL BOMBING;FUNK ;;12/09/16;HTTPS://FACEBOOK.COM/CULTURALBOMBING;HTTPS://TWITTER.COM/BOMBINGCULTURAL;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=0GRWUPXJVGG , HTTPS://WWW.YOUTUBE.COM/WATCH?V=8G1N33PVUDC;HTTPS://WWW.YOUTUBE.COM/WATCH?V=0GRWUPXJVGG , HTTPS://WWW.YOUTUBE.COM/WATCH?V=8G1N33PVUDC;BARRACAS;8
JUAN Y LOS PLANETAS;INDIE ;;12/09/16;;HTTPS://TWITTER.COM/JUANYLOSPLANETA;WWW.SOUNDCLOUD.COM/JUANYLOSPLANETAS , WWW.JUANYLOSPLANETAS.BANDCAMP.COM;MEMORIA (2014) , VACACIONES DE UN PERIODISTA (2013) , CUIDADO CON LA TECNOLOGIA (2012);HTTPS://WWW.YOUTUBE.COM/WATCH?V=WER_-O6IKKC , HTTPS://WWW.YOUTUBE.COM/WATCH?V=Q4CTYS5HPNE;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WHIJNF3NT6S;VILLA FOX;3
LYNX;INDIE ;;12/09/16;;HTTPS://TWITTER.COM/LYNXINDIE;HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCS807PP8EXVXGJZ4GE1B7A , HTTPS://WWW.FACEBOOK.COM/LYNX.INDIEROCK/;LYNX (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=MEIHZJWYZ54 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=HVQCGFY2VSA&LIST=PLOYXYYWA3ZMCTYVJVDUUPY5OFWXNTWZ-K;;LA PLATA;4
SATELITES;INDIE ;;12/09/16;HTTPS://FACEBOOK.COM/SATELITESOFICIAL;;WWW.YOUTUBE.COM/SATELITESOFICIAL , WWW.FACEBOOK.COM/SATELITESOFICIAL;EN TU PROPIA LEY (2006);HTTPS://WWW.YOUTUBE.COM/WATCH?V=HQU3VXBHONE , HTTPS://WWW.YOUTUBE.COM/WATCH?V=HQO0EQXFDNI;HTTPS://WWW.YOUTUBE.COM/WATCH?V=I7VR1CC_HRU , HTTPS://WWW.YOUTUBE.COM/WATCH?V=O8S9NZIRGOU;BARRACAS;5
CONEXIONISTAS;POP ;POP CANCION;12/09/16;HTTPS://FACEBOOK.COM/CONEXIONISTAS;HTTPS://TWITTER.COM/CONEXIONISTAS;;CONEXIONISTAS (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=RVFPVEC8IPO;HTTPS://WWW.YOUTUBE.COM/WATCH?V=LL9RCI3MIZS;LA BOCA;5
CIELOINFIERNO;POP ;POP ROCK;12/09/16;HTTPS://FACEBOOK.COM/CIELOINFIERNO;HTTPS://TWITTER.COM/CIELOINFIERNOAR;HTTPS://WWW.INSTAGRAM.COM/CIELOINFIERNOAR/ , HTTPS://WWW.YOUTUBE.COM/C/CIELOINFIERNOOFICIAL , WWW.CIELOINFIERNO.NET;SECUELAS (2014) , SALTAR (2010) , CIELOINFIERNO (2007);HTTPS://WWW.YOUTUBE.COM/WATCH?V=TPF0VYJRGCW;HTTPS://WWW.YOUTUBE.COM/WATCH?V=DQXKSGSPAXS;RECOLETA;4
LOS MODNIKS;POP ;POP ROCK;12/09/16;HTTPS://FACEBOOK.COM/VUELVENLOSMODNIKS;;HTTP://LOSMODNIKS.BANDCAMP.COM/ , HTTP://WWW.YOUTUBE.COM/USER/MODNIKS , HTTP://LOSMODNIKS.BANDCAMP.COM/;LOS MODNIKS (2014) , LA BANDA DEL SARGENTO FAUL (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=FUX7JU9CGY0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=M55DKVKNSWO;HTTPS://WWW.YOUTUBE.COM/WATCH?V=BIXZPZT-GXK , HTTPS://WWW.YOUTUBE.COM/WATCH?V=1PCXSGTBR6I;NUÑEZ;4
